model,datatype,sort_mode,rmse,mae,mape,acc@10,acc@20,acc@30,hidden,embedding,num_head,num_block,stop_epoch,train_time,test_time,batch,lr,epoch,train_mode,time,is_test
RankPETA,order,pnn_order,14.384768674685692,11.304471015930176,1.0409033298492432,0.5147679324894515,0.8438818565400844,0.9535864978902954,8,64,4,2,53,gcn,gru,64,0.001,100,sort,2023-12-05 18:00:32,False
RankPETA,order,pnn_order,14.152090375181494,11.105355262756348,1.0586543083190918,0.5358649789029536,0.8396624472573839,0.9746835443037974,8,64,4,2,20,gcn,tft,64,0.001,100,sort,2023-12-05 18:22:26,False
RankPETA,order,pnn_order,12.085664791687348,9.464977264404297,0.835813581943512,0.5991561181434599,0.9113924050632911,0.9789029535864979,8,64,4,2,38,gcn,tft,64,0.001,100,sort,2023-12-05 18:47:24,False
RankPETA,order,pnn_order,17.757143973887665,14.419206619262695,1.331472396850586,0.3881856540084388,0.7172995780590717,0.9324894514767933,8,64,4,2,28,gcn,tft,64,0.001,100,sort,2023-12-05 19:01:40,False
RankPETA,order,pnn_order,13.393991837162824,10.729758262634277,0.9501165747642517,0.5485232067510548,0.9029535864978903,0.9662447257383966,8,64,4,2,45,gcn,tft,64,0.001,100,sort,2023-12-05 19:14:07,False
RankPETA,order,pnn_order,13.245677314856227,10.572347640991211,0.9213519096374512,0.5654008438818565,0.8818565400843882,0.9789029535864979,8,64,4,2,55,gcn,tft,64,0.001,100,sort,2023-12-05 19:31:39,False
RankPETA,order,pnn_order,12.934946296500785,10.158746719360352,0.9238588809967041,0.5569620253164557,0.8987341772151899,0.9662447257383966,8,64,4,2,28,gatv2,tft,64,0.001,100,sort,2023-12-05 21:49:36,False
RankPETA,order,pnn_order,13.62334299073337,10.718659400939941,0.9979392886161804,0.5443037974683544,0.8776371308016878,0.9662447257383966,8,64,4,2,34,gatv2,tft,64,0.001,100,sort,2023-12-05 21:51:26,False
RankPETA,order,pnn_order,12.345862408253042,9.8786039352417,0.9013485312461853,0.5780590717299579,0.9113924050632911,0.9789029535864979,8,64,4,2,35,gatv2,gru,64,0.001,100,sort,2023-12-05 22:08:16,False
RankPETA,order,pnn_order,18.486654055664808,15.063862800598145,1.3860081434249878,0.38396624472573837,0.6751054852320675,0.890295358649789,8,64,4,2,33,gatv2,tft,64,0.001,100,sort,2023-12-05 22:11:16,False
RankPETA,order,pnn_order,15.78205975258552,12.717131614685059,1.159237265586853,0.4767932489451477,0.7721518987341772,0.9535864978902954,8,64,4,2,17,gatv2,gru,64,0.001,100,sort,2023-12-05 22:20:13,False
RankPETA,order,pnn_order,12.626743913821741,9.867013931274414,0.8366518616676331,0.5949367088607594,0.8987341772151899,0.9746835443037974,8,64,4,2,39,gatv2,gru,64,0.001,100,sort,2023-12-05 22:27:43,False
RankPETA,order,pnn_order,15.57615313968309,12.343887329101562,1.0848619937896729,0.4767932489451477,0.8143459915611815,0.9493670886075949,8,64,4,2,35,gatv2,tft,64,0.001,100,sort,2023-12-05 22:34:05,False
RankPETA,order,pnn_order,12.385803439060975,9.844574928283691,0.9061155915260315,0.6075949367088608,0.8945147679324894,0.9831223628691983,8,64,4,2,42,gatv2,gru,64,0.001,100,sort,2023-12-05 22:40:49,False
